original_phrase,cluster_id,cluster_name
"Website lacks ingredient list, hiding trans fats.",186,Hidden Trans Fat
Crackers contain high inorganic arsenic.,76,High Arsenic Levels
High inorganic arsenic in these crackers.,76,High Arsenic Levels
High inorganic arsenic levels in crackers.,76,High Arsenic Levels
High inorganic arsenic in brown rice crackers.,76,High Arsenic Levels
High freight cost for low-priced item.,96,High Shipping Cost
Paid three times more than in-store price.,96,High Shipping Cost
Shipping cost more than item price.,96,High Shipping Cost
Freight cost exceeds product price significantly.,96,High Shipping Cost
Unpleasant taste made the product undrinkable.,265,Horrendous Taste
Disliked the product's taste and smell.,265,Horrendous Taste
The product tasted horrendous and chemical-like.,265,Horrendous Taste
The product had a terrible chemical taste.,265,Horrendous Taste
The product's taste was repulsive.,265,Horrendous Taste
The product's taste was intolerable.,265,Horrendous Taste
Product has a horrible aftertaste.,122,Horrible Aftertaste
Horrible aftertaste is the root cause.,122,Horrible Aftertaste
Unpleasant aftertaste made the product unusable.,122,Horrible Aftertaste
The product had a bad aftertaste.,122,Horrible Aftertaste
The product's aftertaste is worse than cheap liquor.,122,Horrible Aftertaste
Unpleasant aftertaste made product inedible.,122,Horrible Aftertaste
Bad aftertaste made product unusable.,122,Horrible Aftertaste
Horrid taste makes meal inedible.,269,Horrid Baby Food
The baby food flavor tastes nasty.,269,Horrid Baby Food
The baby food flavor tasted nasty.,269,Horrid Baby Food
Food tasted so bad that ice cream was needed.,269,Horrid Baby Food
Food's awful taste required ice cream afterwards.,269,Horrid Baby Food
Food tasted so bad it needed ice cream.,269,Horrid Baby Food
The coffee pods have a horrid flavor.,9,Horrid Flavor
The coffee pods have a horrid flavor.,9,Horrid Flavor
"The pods have a horrid, awful flavor.",9,Horrid Flavor
Inadequate shipping packaging causes repeated damage.,208,Inadequate Packaging
Items arrived loose instead of individually packaged.,208,Inadequate Packaging
Items arrived loose instead of packaged.,208,Inadequate Packaging
Inconsistent can quality with excessive fat.,27,Inconsistent Cans
"Stopped quality testing caused inconsistent, fatty cans.",27,Inconsistent Cans
"Inconsistent quality control caused fatty, problematic cans.",27,Inconsistent Cans
Inconsistent seasoning quality after restocking.,206,Inconsistent Seasoning
Inconsistent seasoning after restock due to cost-cutting.,206,Inconsistent Seasoning
Cost-cutting reduced seasoning quality after restock.,206,Inconsistent Seasoning
Incorrect listing stated pack of 6.,204,Incorrect Listing
Amazon listed the item incorrectly as a pack of six.,204,Incorrect Listing
Incorrect Amazon listing for pack of 6.,204,Incorrect Listing
Both cases of Kettle chips were inedible.,219,Inedible Chip Cases
Both cases of Kettle chips were inedible.,219,Inedible Chip Cases
Both cases of Kettle chips were thrown away.,219,Inedible Chip Cases
Kettle chips lost their crinkle cut texture.,219,Inedible Chip Cases
Chips lost crinkle cut and hefty texture.,219,Inedible Chip Cases
The dog food smells like cardboard and is inedible.,34,Inedible Dog Food
Dog food contains pesticides and grains.,34,Inedible Dog Food
Dog food caused vomiting and stomach pain.,34,Inedible Dog Food
Grains in dog food caused the negative review.,34,Inedible Dog Food
Grocery store dog food contains excessive fillers.,34,Inedible Dog Food
Ethoxyquin pesticide in food harmed dogs.,34,Inedible Dog Food
Food caused allergic reactions in dogs.,34,Inedible Dog Food
The dog disliked the layer of fat on top.,34,Inedible Dog Food
Inconsistent fat content caused dog diarrhea.,34,Inedible Dog Food
GF Bisquick pancakes were inedible and thrown away.,25,Inedible Pancakes
Gluten-free Bisquick pancakes tasted like pillow foam.,25,Inedible Pancakes
Pancake mix only marginally better than Bisquick.,25,Inedible Pancakes
"Thin batter produced bland, thin pancakes.",25,Inedible Pancakes
Pancakes are only marginally better than Bisquick.,25,Inedible Pancakes
Tea did not relieve itching throat and ear.,58,Ineffective Tea
Tea had no effect on sinus infection symptoms.,58,Ineffective Tea
Tea lacks flavor and tastes like dust.,58,Ineffective Tea
Tea failed to relieve sinus congestion.,58,Ineffective Tea
Decaffeinated tea has no flavor.,58,Ineffective Tea
Tea lacks body and has too much caffeine.,58,Ineffective Tea
Product failed to help with sleep.,97,Ineffective for Sleep
Product failed to improve sleep quality.,97,Ineffective for Sleep
The product didn't help with sleep issues.,97,Ineffective for Sleep
Quick cook wild rice has inferior taste.,121,Inferior Quick Rice
The rice flour is unpleasantly gritty.,121,Inferior Quick Rice
Quick cook rice has inferior taste compared to regular.,121,Inferior Quick Rice
Quick cook wild rice lacks taste quality.,121,Inferior Quick Rice
Quick cook wild rice lacks taste quality.,121,Inferior Quick Rice
Deceptive name due to corn flour ingredient.,121,Inferior Quick Rice
Deceptive labeling: corn flour overpowers brown rice taste.,121,Inferior Quick Rice
Deceptive labeling with corn flour overpowers brown rice taste.,121,Inferior Quick Rice
Product is inferior to Trader Joe's version.,118,Inferior to Competitor
Hershey's version lacks the original Cadbury formula.,118,Inferior to Competitor
Hershey's formula differs from authentic Cadbury.,118,Inferior to Competitor
"Hershey's Cadbury uses a different, inferior formula.",118,Inferior to Competitor
Item was too skinny despite correct length.,173,Item Too Skinny
"Item was too skinny, not as thick as expected.",173,Item Too Skinny
Item was smaller than described.,173,Item Too Skinny
The item was too skinny for the price.,173,Item Too Skinny
Item was too skinny despite correct length.,173,Item Too Skinny
Coffee lacked flavor and aroma.,21,Lacks Flavor Aroma
Coffee lacked flavor and aroma.,21,Lacks Flavor Aroma
Coffee is weak and lacks rich flavor.,21,Lacks Flavor Aroma
Coffee lacked flavor and aroma.,21,Lacks Flavor Aroma
Coffee lacks rich flavor and is weak.,21,Lacks Flavor Aroma
Missing two flavors and unbalanced coffee-to-tea ratio.,21,Lacks Flavor Aroma
Coffee is weak and lacks rich flavor.,21,Lacks Flavor Aroma
Coffee is weak and lacks rich flavor.,21,Lacks Flavor Aroma
Lacks richness and smoothness compared to Cafe Escapes.,1,Lacks Richness
Less chocolate flavor and thinner than Cafe Escapes.,1,Lacks Richness
Product less rich and smooth than Cafe Escapes.,1,Lacks Richness
Less rich and smooth than Cafe Escapes brand.,1,Lacks Richness
Product lacks richness and smoothness compared to Cafe Escapes.,1,Lacks Richness
Insufficient sour cream and onion flavor.,250,Lacks Sour Cream
Lack of sour cream and onion flavor.,250,Lacks Sour Cream
Sour taste and smell are excessively strong.,250,Lacks Sour Cream
Sour flavor and smell are overwhelmingly strong.,250,Lacks Sour Cream
Sour taste and smell are too strong.,250,Lacks Sour Cream
"Greasy, overly rich, and lacked jalapeno flavor.",211,Lacks Tabasco Flavor
Snack lacks Tabasco flavor and heat.,211,Lacks Tabasco Flavor
Snacks lacked Tabasco flavor and heat.,211,Lacks Tabasco Flavor
Less chocolate taste and thinner consistency.,168,Less Chocolate Thinner
Less chocolate taste and thinner consistency.,168,Less Chocolate Thinner
Inferior chocolate taste and thinner consistency than competitor.,168,Less Chocolate Thinner
Misleading packaging hides low-quality corn and by-product ingredients.,93,Low Quality Corn
"Corn Flakes are unhealthy, sugary, low-protein food.",93,Low Quality Corn
Corn Flakes lack real nutrition and are overpriced.,93,Low Quality Corn
"Low sugar content causes watery, weak flavor.",146,Low Sugar Watery
Watery taste due to low sugar content.,146,Low Sugar Watery
Excessive sugar content causes poor flavor.,146,Low Sugar Watery
Watery taste due to low sugar content.,146,Low Sugar Watery
Excessive sugar ruined flavor and quality.,146,Low Sugar Watery
Maltitol causes severe digestive side effects.,110,Maltitol Side Effects
Maltitol causes severe digestive side effects.,110,Maltitol Side Effects
Maltitol causes severe digestive side effects.,110,Maltitol Side Effects
Product tasted horrendously like chemicals.,264,Medicinal Chemical Taste
The graham sticks tasted like chemicals.,264,Medicinal Chemical Taste
Product tasted like medicinal cough syrup.,264,Medicinal Chemical Taste
Mediocre product not worth rebuying.,112,Mediocre Product
"Product is mediocre, not worth repurchasing.",112,Mediocre Product
Product is mediocre and not worth repurchasing.,112,Mediocre Product
Grove Square Hot Cocoa had a metallic aftertaste.,83,Metallic Cocoa Taste
The hot cocoa tasted like a chemical experiment.,83,Metallic Cocoa Taste
Grove Square Hot Cocoa had a metallic aftertaste.,83,Metallic Cocoa Taste
The hot cocoa tasted like a chemical experiment.,83,Metallic Cocoa Taste
Grove Square Hot Cocoa had a metallic aftertaste.,83,Metallic Cocoa Taste
Grove Square Hot Cocoa had a metallic aftertaste.,83,Metallic Cocoa Taste
The device produced insufficient volume with the microphone.,141,Microphone Failure
Product failed to transmit sound after single use.,141,Microphone Failure
Device malfunctioned after two hours of use.,141,Microphone Failure
Icicle device causes constant popping noises.,141,Microphone Failure
Hum from dynamic mics and cheap build.,141,Microphone Failure
Item had a constant high-pitched tone defect.,141,Microphone Failure
Defective unit caused excessive hissing and pops.,141,Microphone Failure
Insufficient gain for Shure SM57 microphone.,141,Microphone Failure
Insufficient preamp gain causes low recording levels.,141,Microphone Failure
No plain sugar available on Amazon.,117,Mislabeled Sugar
Product lists sugar as second ingredient.,117,Mislabeled Sugar
Turbinado sugar is actually dyed white sugar.,117,Mislabeled Sugar
"Sugar is dyed white crystals, not real turbinado.",117,Mislabeled Sugar
The sugar is artificially colored white crystals.,117,Mislabeled Sugar
Agave nectar has more calories than sugar.,117,Mislabeled Sugar
Misleading product size: 4oz bags not 20oz.,196,Misleading Bag Size
Advertised 20oz bag is actually 4oz.,196,Misleading Bag Size
"Misleading product size: 4 oz bags, not 20 oz.",196,Misleading Bag Size
Misleading product description: not DOP as pictured.,11,Misleading DOP Label
"Misleading photo showed DOP product, but received different item.",11,Misleading DOP Label
Misleading labels confuse D.O.P. and non-D.O.P. versions.,11,Misleading DOP Label
Product advertised as DOP but not.,11,Misleading DOP Label
Product advertised as DOP but not actually DOP.,11,Misleading DOP Label
Misleading image shows DOP certification.,11,Misleading DOP Label
Misleading label confuses DOP and non-DOP versions.,11,Misleading DOP Label
Misleading label causes confusion between DOP and non-DOP.,11,Misleading DOP Label
Photo showed DOP product but delivered different.,11,Misleading DOP Label
Product labeled 'not to be consumed' despite being marketed as edible.,178,Misleading Edibility
Product labeled inedible despite being marketed as edible.,178,Misleading Edibility
Product labeled non-edible despite being sold for food use.,178,Misleading Edibility
Misleading ingredient list includes non-mango juices.,155,Misleading Mango
Mango flavor does not taste like mango.,155,Misleading Mango
"Mango flavor tastes like licorice, not mango.",155,Misleading Mango
Mango flavor lacks mango taste and has licorice aftertaste.,155,Misleading Mango
"Adult buyer misled by packaging, price too high for kids.",92,Misleading Price
Description falsely claims 360g can for under $4.,92,Misleading Price
Description says 360g but price suggests 100g.,92,Misleading Price
Misleading free shipping offer led to extra fees.,79,Misleading Shipping
Misleading free shipping policy caused separate shipping charges.,79,Misleading Shipping
Paid three times more including shipping than in store.,79,Misleading Shipping
Misleading free shipping resulted in separate charges.,79,Misleading Shipping
Misleading product description and non-refundable policy.,127,Misleading Stale Product
Miniaturized product fails to match original quality.,127,Misleading Stale Product
Product is stale and misrepresented in description.,127,Misleading Stale Product
Product was misrepresented and poor quality.,127,Misleading Stale Product
Product too small and lacked enough icing.,127,Misleading Stale Product
Product was smaller than expected and lacked icing.,127,Misleading Stale Product
Product received lacked D.O.P. certification.,5,Missing DOP
Received product lacks stated D.O.P. certification.,5,Missing DOP
Product lacks promised D.O.P certification.,5,Missing DOP
Product shipped lacks D.O.P. certification as advertised.,5,Missing DOP
Product lacks advertised D.O.P. certification.,5,Missing DOP
Product not D.O.P certified as advertised.,5,Missing DOP
Product falsely advertised as D.O.P. certified.,5,Missing DOP
"Missing box packaging, not suitable for gifting.",201,Missing Gift Box
Shipped without cold packaging in summer.,201,Missing Gift Box
Received warehouse box instead of advertised gift box.,201,Missing Gift Box
Sent in a display box without outer packaging.,201,Missing Gift Box
Received warehouse box instead of advertised gift box.,201,Missing Gift Box
Display box used instead of proper shipping box.,201,Missing Gift Box
"Gift box expected, but got warehouse box.",201,Missing Gift Box
Missing ingredient list online caused misleading purchase.,179,Missing Ingredients Online
Displeased with the nutritional information.,179,Missing Ingredients Online
Website didn't list product ingredients.,179,Missing Ingredients Online
Missing ingredient list on product packaging.,179,Missing Ingredients Online
Amazon listed incorrect product ingredients and label.,179,Missing Ingredients Online
"Missing cooking instructions caused mushy, tasteless couscous.",223,Missing Instructions
Missing cooking instructions caused mushy couscous.,223,Missing Instructions
Missing cooking instructions caused mushy tasteless couscous.,223,Missing Instructions
Original Beer Nuts flavor is missing.,188,Missing Original Flavor
The original Beer Nuts flavor is nearly absent.,188,Missing Original Flavor
Original Beer Nuts flavor is nearly absent.,188,Missing Original Flavor
Coating and flavoring were missing from nuts.,188,Missing Original Flavor
Lack of clear sugar-free labeling.,137,Missing Sugar-Free Label
Unappealing sugar water with unsustainable packaging.,137,Missing Sugar-Free Label
Unappealing sugar water with excessive packaging waste.,137,Missing Sugar-Free Label
Lack of unit pricing prevents price comparison.,86,Missing Unit Price
Hidden price per unit prevents comparison.,86,Missing Unit Price
Missing price per unit for comparison.,86,Missing Unit Price
Moldy taste due to a bad batch.,257,Moldy Batch
Tastes moldy due to bad batch.,257,Moldy Batch
Bad batch caused moldy taste.,257,Moldy Batch
Poor mushy texture and unappealing taste.,246,Mushy Unappealing
Poor texture and taste made it unpalatable.,246,Mushy Unappealing
Texture and taste were mushy and pasty.,246,Mushy Unappealing
Poor taste and texture made them inedible.,246,Mushy Unappealing
"New formula is disgusting, causing cancellation.",125,New Formula Disgust
"New formula disgusting, causing subscription cancellation.",125,New Formula Disgust
New formula change caused subscription cancellation.,125,New Formula Disgust
"New formula tastes disgusting, causing subscription cancellation.",125,New Formula Disgust
Lack of cheese flavor in the puff.,165,No Cheese Flavor
No cheese flavor in the puff.,165,No Cheese Flavor
"Cheese puff lacks flavor, child rejects it.",165,No Cheese Flavor
No cheese flavor in the puff.,165,No Cheese Flavor
"No chocolate flavor, just artificial sweetener taste.",148,No Chocolate Flavor
"Flavor tastes like fake sweetener, not chocolate.",148,No Chocolate Flavor
Product lacks chocolate flavor and has fake sugar taste.,148,No Chocolate Flavor
The hot chocolate lacks any cocoa flavor.,52,No Cocoa Flavor
Hot chocolate lacks cocoa flavor.,52,No Cocoa Flavor
The hot chocolate lacks any chocolate flavor.,52,No Cocoa Flavor
K-cup hot chocolate lacks any cocoa flavor.,52,No Cocoa Flavor
Dark hot cocoa lacked real chocolate flavor.,52,No Cocoa Flavor
The hot chocolate lacks any cocoa flavor.,52,No Cocoa Flavor
Dark hot cocoa lacked real chocolate flavor.,52,No Cocoa Flavor
The hot chocolate lacks cocoa flavor.,52,No Cocoa Flavor
The hot chocolate has no chocolate flavor.,52,No Cocoa Flavor
The hot chocolate lacks any cocoa flavor.,52,No Cocoa Flavor
The coconut product had virtually no flavor.,217,No Coconut Flavor
The coconut cream was virtually tasteless.,217,No Coconut Flavor
The coconut product lacked flavor.,217,No Coconut Flavor
The coconut shreds had virtually no flavor.,217,No Coconut Flavor
The tea has no flavor.,70,No Flavor Tea
Tea has terrible flavor and moldy aftertaste.,70,No Flavor Tea
The tea lacks detectable prickly pear flavor.,70,No Flavor Tea
"The product lacks heat despite having ""habanero"" in its name.",198,No Habanero Heat
The product lacks heat despite promising habanero spiciness.,198,No Habanero Heat
The sauce lacks heat despite being named habanero.,198,No Habanero Heat
"No tea flavor, just artificial taste.",65,No Tea Flavor
"No tea flavor, only artificial flavors.",65,No Tea Flavor
"Artificial flavors, no tea taste.",65,No Tea Flavor
Herbal additives destroy the real tea taste.,65,No Tea Flavor
Toy is not durable enough for dogs.,24,Non-Durable Dog Toy
The toy is not durable for dogs.,24,Non-Durable Dog Toy
Toy lacks durability for dog play.,24,Non-Durable Dog Toy
Main ingredient is non-organic hormone-pumped chicken.,144,Non-Organic Chicken
Chicken meal contains 4-D chickens and waste products.,144,Non-Organic Chicken
Main ingredient chicken is not organic.,144,Non-Organic Chicken
Misleading organic label when meat is not organic.,144,Non-Organic Chicken
Product labeled organic but chicken is not organic.,144,Non-Organic Chicken
Contains chicken meal and by-product ingredients.,144,Non-Organic Chicken
The chicken is not organic.,144,Non-Organic Chicken
"Product is not authentic DOP, only certified.",10,Not Authentic DOP
Misleading image shows false D.O.P. certification.,10,Not Authentic DOP
Product lacks authentic DOP certification.,10,Not Authentic DOP
Product received mismatched DOP certification labeling.,10,Not Authentic DOP
Product lacks authentic DOP certification.,10,Not Authentic DOP
Advertised DOP certification not matching shipped product.,10,Not Authentic DOP
Photo falsely advertised DOP certification.,10,Not Authentic DOP
Product was never delivered to customer.,55,Not Delivered
Product was never delivered to customer.,55,Not Delivered
Product never received by customer.,55,Not Delivered
The tea from Amazon is not the original.,40,Not Original Tea
The new tea differs from the original black box version.,40,Not Original Tea
The tea is not the same as the original.,40,Not Original Tea
Product does not resemble peanut satay.,143,Not Peanut Satay
Product doesn't taste like authentic peanut satay.,143,Not Peanut Satay
Mislabeled: jumbo salted peanuts were small unsalted.,143,Not Peanut Satay
Product incorrectly labeled as jumbo salted.,143,Not Peanut Satay
The product was mislabeled as jumbo salted peanuts.,143,Not Peanut Satay
Product doesn't taste like peanut satay.,143,Not Peanut Satay
Product does not taste like peanut satay.,143,Not Peanut Satay
Taste does not resemble Thai food and calorie count is misleading.,143,Not Peanut Satay
Product not spicy as advertised.,199,Not Spicy Enough
Product advertised as hot but not spicy.,199,Not Spicy Enough
"Hot sauce is mostly jalapeños, not hot or tasty.",199,Not Spicy Enough
"It lacks heat and flavor, mostly jalapeños.",199,Not Spicy Enough
Off-taste made the coffee undrinkable.,35,Off-Taste Coffee
Bad off taste made coffee undrinkable.,35,Off-Taste Coffee
Bad off taste made the coffee undrinkable.,35,Off-Taste Coffee
Bad smell and taste make coffee undrinkable.,35,Off-Taste Coffee
Coffee is watery and likely stale.,35,Off-Taste Coffee
The coffee had a bad off taste.,35,Off-Taste Coffee
The coffee tastes stale compared to the event.,35,Off-Taste Coffee
The coffee tasted stale.,35,Off-Taste Coffee
Suspected poisoning from Chinese-made treats.,244,Offensive Smell
Food had a very offensive smell.,244,Offensive Smell
Offensive smell from product caused workplace complaint.,244,Offensive Smell
Offensive smell caused workplace complaint.,244,Offensive Smell
Faulty rubber gasket caused chemical smell.,244,Offensive Smell
Defective lid gasket causes chemical rubber odor.,244,Offensive Smell
Faulty rubber gasket caused chemical smell.,244,Offensive Smell
Product had rotten fruits and foul smell.,244,Offensive Smell
Fruits arrived rotten and foul-smelling.,244,Offensive Smell
Contaminated fruit caused oral infection despite clean cans.,244,Offensive Smell
Cheaper ingredients made bars oily and bland.,54,Oily Bland Bars
Cheaper ingredients made the bars unpalatable.,54,Oily Bland Bars
Bar tastes like chalk with zero flavor.,54,Oily Bland Bars
Chalky taste and texture make bar disgusting.,54,Oily Bland Bars
The bar tastes like disgusting chalk powder.,54,Oily Bland Bars
Excessive fat in recipe causes oily brownies.,231,Oily Brownies
Excessive fat and coarse texture cause oily brownies.,231,Oily Brownies
Excessive oiliness and overwhelming oil taste.,231,Oily Brownies
Too oily with overwhelming oil taste.,231,Oily Brownies
"Oily and flavorless taste, lacked spice.",214,Oily Flavorless
"Taste was oily, flavorless, and lacked spice.",214,Oily Flavorless
"Taste was oily, flavorless, and lacked spice.",214,Oily Flavorless
Dates were old and tasted like leather.,220,Old Leathery Dates
Dates were hard and stale.,220,Old Leathery Dates
The dates were old and dried out.,220,Old Leathery Dates
"Old, dried dates tasted like leather.",220,Old Leathery Dates
The dates were stale and rock-hard.,220,Old Leathery Dates
The dates were stale and rock-hard.,220,Old Leathery Dates
"Customer overlooked the word ""supreme"" when ordering.",126,Ordering Mistake
"Customer failed to notice ""supreme"" in the product listing.",126,Ordering Mistake
"Customer overlooked ""supreme"" in product title.",126,Ordering Mistake
Product not in advertised resealable tub.,-1,Other
Extremely bitter taste even after adding sugar.,-1,Other
The hot cocoa K-cups tasted worse than instant.,-1,Other
Taste does not resemble real cocoa.,-1,Other
Seller shipped with insufficient postage.,-1,Other
Poorly designed mix lacks sugar and moisture.,-1,Other
Undisclosed sucralose caused headache and artificial taste.,-1,Other
Horrendous chemical taste of the product.,-1,Other
Instant cocoa is watery and tastes like sweet water.,-1,Other
Artificial sweetener aftertaste ruins the hot chocolate.,-1,Other
Combining two orders into one box caused damage.,-1,Other
Product not as expected for guests.,-1,Other
Sucralose aftertaste made the product unenjoyable.,-1,Other
Artificial sweetener taste and weak chocolate flavor.,-1,Other
They are hard to cut and break apart.,-1,Other
Watery and artificial taste due to low quality.,-1,Other
Artificial sweetener and watery texture ruin the flavor.,-1,Other
Product's sugar-free nature was not disclosed.,-1,Other
The product may be expired or out of date.,-1,Other
The product had no flavor and tasted watered down.,-1,Other
Damaged product and unhelpful customer service.,-1,Other
The K-cup hot cocoa mix tasted terrible.,-1,Other
Lack of sugar and moisture ingredients.,-1,Other
"Low sugar causes watery, weak chocolate flavor.",-1,Other
Artificial sweetener taste overpowered the chocolate.,-1,Other
Inconsistent flavor across different product lots.,-1,Other
Expired product arrived as biscuit crumbs.,-1,Other
"Tastes like raw, squishy cookie dough.",-1,Other
Waffle mix is overpriced and disappointing.,-1,Other
Poor quality ingredients caused disappointment.,-1,Other
Aluminum and sugar undermine product's healthiness.,-1,Other
The product tastes like chalk from southern France.,-1,Other
Box recipe requires too much fat.,-1,Other
Cocoa is watery brown sugar water.,-1,Other
"Weak, watery hot chocolate with artificial sweetener taste.",-1,Other
"The mix requires eggs and milk, not truly dairy-free.",-1,Other
"Chocolate flavor too weak, sweetener too intense.",-1,Other
Description omitted that cocoa is sugar-free.,-1,Other
High sugar content ruins savory dishes.,-1,Other
The product is overpriced and tastes mediocre.,-1,Other
Received unlabeled plastic bag instead of advertised tub.,-1,Other
"The product has a strong, unpleasant fake sugar taste.",-1,Other
Product is artificially sweetened hot cocoa mix.,-1,Other
Artificial sweetener flavor ruined the chocolate taste.,-1,Other
Poorly designed mix lacks sugar and moisture.,-1,Other
The drink is weak and lacks cocoa flavor.,-1,Other
Incorrect substitution and unbalanced flavor assortment.,-1,Other
Tastes processed and fake despite high price.,-1,Other
Misleading label for D.O.P. and non-D.O.P. tomatoes.,-1,Other
11 cans arrived with serious dents.,-1,Other
Chalky taste due to limited capsule ingredients.,-1,Other
Modified product lacks quality of original.,-1,Other
Artificial sweetener sucralose caused strong aftertaste.,-1,Other
Artificial sweetener taste and lack of chocolate flavor.,-1,Other
"Product had an unpleasant, funny taste.",-1,Other
Artificial sweetener leaves a fake sugar aftertaste.,-1,Other
Poor nutritional value and high price.,-1,Other
Sugar substitute aftertaste ruins the drink.,-1,Other
Product tastes bitter like artificial sweetener.,-1,Other
Misleading product image shows false certification.,-1,Other
Misunderstood listing: thought it was 3 boxes.,-1,Other
Overpriced imitation of an existing product.,-1,Other
Artificial sweetener sucralose caused unpleasant aftertaste.,-1,Other
Product contains hidden sucralose despite no diet label.,-1,Other
Product tasted funny and was rejected.,-1,Other
Product tastes watered down and overly sweet.,-1,Other
Cans were badly bent and warped.,-1,Other
Cigars were stale and rock-hard.,-1,Other
Tasteless sugar water with wasteful packaging.,-1,Other
Misleading packaging shows more crackers than inside.,-1,Other
Received substitute flavor instead of desired discontinued chips.,-1,Other
Received wrong flavor substitution for discontinued chip.,-1,Other
"The frosting is a gluey, tacky mess.",-1,Other
"Gluey, tacky texture ruined the frosting.",-1,Other
Plastic pieces found in baby food.,-1,Other
Misunderstanding over quantity of cereal boxes.,-1,Other
Misunderstood listing; thought it was 3 boxes.,-1,Other
Stale or old trays caused customer disappointment.,-1,Other
Stale product caused hard texture and weak flavor.,-1,Other
"The soup is mainly starch, not a real meal.",-1,Other
"Mostly decaf, only two flavored cups.",-1,Other
Felidae kibble caused vomiting and diarrhea.,-1,Other
All-natural kibble caused digestive upset.,-1,Other
Plastic container imparts crayon taste to oil.,-1,Other
Plastic container imparts crayon aftertaste.,-1,Other
Plastic container causes crayon aftertaste.,-1,Other
Greasy chips with no jalapeno flavor.,-1,Other
Chips were greasy and lacked jalapeno flavor.,-1,Other
Extreme saltiness caused lip and mouth peeling.,-1,Other
Chips are too oily with overwhelming oil taste.,-1,Other
Insufficient yellow frosting with poor adhesion.,-1,Other
Plastic pieces found in baby food jars.,-1,Other
Plastic pieces found in baby food jars.,-1,Other
The product was spoiled and expired.,-1,Other
Reviewer dislikes the taste of caviar.,-1,Other
Artificial ingredients made it unappetizing.,-1,Other
"Taste not appealing, like Munchos.",-1,Other
The chips are too salty to finish.,-1,Other
"The gummies had a strange, unappealing flavor.",-1,Other
Received mostly decaf instead of regular Donut Shop.,-1,Other
"Chips are stale, rancid, and lack salt.",-1,Other
Frosting had crusty and gelatinous texture.,-1,Other
Plastic contamination in baby food.,-1,Other
Plastic bits found in baby food.,-1,Other
Plastic contamination found in baby food product.,-1,Other
Flavor coating was too thick and gritty.,-1,Other
Fat-free ranch dressing tastes awful to husband.,-1,Other
Husband disliked the fat-free ranch dressing taste.,-1,Other
Product advertised 144 packets but only 12 received.,-1,Other
Product listing claims 144 packets but only 12 received.,-1,Other
Bait and switch: received wrong drinks instead of ordered.,-1,Other
Order contained missing flavors and unbalanced ratio.,-1,Other
Cans were dented during shipping.,-1,Other
Oily and flavorless taste with insufficient spice.,-1,Other
Items not packaged as shown.,-1,Other
Cherry flavor tastes medicinal like Robitussin.,-1,Other
Cherry flavor tastes medicinal.,-1,Other
"The soup is overwhelmingly spicy, killing all flavor.",-1,Other
US acquisition altered recipe and quality.,-1,Other
Bad potato quality causes inconsistent chips.,-1,Other
Inconsistent potato quality produces sour batches.,-1,Other
Old or sour potatoes cause inconsistent quality.,-1,Other
The product has absolutely no taste.,-1,Other
Deceptive hiding of MSG and excessive packaging air.,-1,Other
Poor packaging led to repeatedly broken cookies.,-1,Other
Poor packaging caused cookies to arrive broken.,-1,Other
Excessive fat makes cookies greasy and fall apart.,-1,Other
Vendor steals others' cultures and claims them.,-1,Other
Stale and inedible food from Amazon.,-1,Other
Calorie information was hidden until after purchase.,-1,Other
All cans arrived dented and lacked DOP certification.,-1,Other
The tea's quality has drastically declined.,-1,Other
Product quality has significantly declined over time.,-1,Other
The gift basket items were stale and old.,-1,Other
Yeast extract is mislabeled MSG in chips.,-1,Other
Sample and retail product quality differed.,-1,Other
Poor quality meat at inflated prices.,-1,Other
"The product contains yeast extract despite its ""all natural"" claim.",-1,Other
Deceptive product description and inaccurate dimensions.,-1,Other
Chips are too expensive for their small size.,-1,Other
Ran out of money to buy more Penta water.,74,Out of Money
Customer couldn't afford to buy more Penta.,74,Out of Money
Ran out of money before next shipment.,74,Out of Money
Ran out of money before reordering PENTA.,74,Out of Money
Chips were overcooked in this order.,235,Overcooked Chips
Chips from this order were overcooked.,235,Overcooked Chips
Chips were overcooked in this order.,235,Overcooked Chips
Chips were consistently overcooked and dark.,235,Overcooked Chips
Chips were overcooked and too hard.,235,Overcooked Chips
Chips are consistently overcooked and too dark.,235,Overcooked Chips
Majority of chips were over-fried and burnt.,235,Overcooked Chips
Over-fried chips in over half the bag.,235,Overcooked Chips
Chips are over-fried and brown in color.,235,Overcooked Chips
Overpowering artificial sweetener taste ruined chocolate flavor.,182,Overpowering Sweetener
Artificial sweetener and weak chocolate flavor.,182,Overpowering Sweetener
Artificial sweetener taste overpowers chocolate flavor.,182,Overpowering Sweetener
Artificial sweetener and lack of chocolate flavor.,182,Overpowering Sweetener
Chocolate in cookies caused a medicinal taste.,182,Overpowering Sweetener
Chocolate gives cookies a medicinal taste.,182,Overpowering Sweetener
Chocolate makes cookies taste medicinal.,182,Overpowering Sweetener
Condiments are overpriced and taste terrible.,195,Overpriced Condiments
Condiments are overpriced and taste terrible.,195,Overpriced Condiments
Condiments taste bad and are overpriced.,195,Overpriced Condiments
Overpriced for a small bag of hard crumbs.,159,Overpriced Small Bag
"Overpriced, unhealthy alternative to cheaper options.",159,Overpriced Small Bag
Pop Chips are an overpriced version of Munchos.,159,Overpriced Small Bag
Overpriced compared to similar Munchos chips.,159,Overpriced Small Bag
Product is overpriced compared to wholesale clubs.,103,Overpriced Wholesale
